empresa;codigoarticulo;codigoparticular;articulo;rubro;costo;preciopublico;marca;superrubro;gruposuperrubro;familia;ult_fechaingreso;color;silueta;sitioparapublicar;porcentajedescuento;web
MaxPro SRL;316;313871066-2;Brocas Modelo 332;Herramientas Eléctricas;360.07;594.86;FixMaster;Profesional;Medición;Madera;5/9/2024;Verde;Brocas;;42.0;
MaxPro SRL;317;864116397-2;Cinta métrica Modelo 290;Accesorios de Construcción;470.79;630.02;Construtek;Profesional;Seguridad;Madera;17/1/2024;Amarillo;Cinta métrica;;;
MaxPro SRL;318;428225710-5;Martillo Modelo 118;Herramientas Eléctricas;21.17;30.59;Renova;Profesional;Neumática;Aluminio;10/6/2024;Naranja;Martillo;;;
Construmax;319;310459739-1;Nivel Modelo 310;Fijaciones y Anclajes;319.65;537.33;Construtek;Profesional;Medición;Aluminio;15/4/2024;Gris;Nivel;;;
Construmax;320;984614402-4;Destornillador Modelo 566;Herramientas Manuales;375.25;723.05;BuildPro;Hogar;Neumática;Madera;10/9/2024;Naranja;Destornillador;;;
Construmax;321;634418957-6;Espátula Modelo 874;Fijaciones y Anclajes;392.24;706.6;TitanTools;Hogar;Manual;Plástico;20/1/2024;Gris;Espátula;;30.0;
MaxPro SRL;322;187861980-2;Cinta métrica Modelo 605;Accesorios de Construcción;291.28;434.59;FerroMax;Profesional;Seguridad;Aluminio;15/5/2024;Rojo;Cinta métrica;;;
Construmax;323;068141498-7;Destornillador Modelo 199;Equipos de Seguridad;189.19;329.31;TitanTools;Profesional;Seguridad;Aluminio;28/6/2024;Rojo;Destornillador;;31.0;
MaxPro SRL;324;159930807-X;Clavos Modelo 628;Herramientas Manuales;351.86;693.22;BuildPro;Hogar;Medición;Aluminio;6/5/2024;Blanco;Clavos;;;
MaxPro SRL;325;221771737-5;Martillo Modelo 434;Fijaciones y Anclajes;24.26;29.78;PowerFix;Hogar;Seguridad;Aluminio;4/11/2024;Gris;Martillo;;;
Construmax;326;364304192-6;Clavos Modelo 157;Fijaciones y Anclajes;140.5;189.22;Construtek;Profesional;Eléctrica;Goma;15/1/2024;Rojo;Clavos;;;
Construmax;327;056035513-0;Brocas Modelo 211;Accesorios de Construcción;17.9;27.41;TitanTools;Hogar;Manual;Plástico;8/5/2024;Amarillo;Brocas;;;
Construmax;328;028864798-X;Martillo Modelo 663;Herramientas Eléctricas;169.12;262.1;Structo;Profesional;Eléctrica;Plástico;26/5/2024;Amarillo;Martillo;;;
Construmax;329;906721468-X;Cinta métrica Modelo 239;Herramientas Eléctricas;480.31;929.11;FixMaster;Profesional;Manual;Aluminio;22/11/2024;Negro;Cinta métrica;;;
MaxPro SRL;330;305522728-X;Espátula Modelo 205;Fijaciones y Anclajes;224.74;438.48;FerroMax;Hogar;Eléctrica;Plástico;22/10/2024;Rojo;Espátula;;;
MaxPro SRL;331;635841157-8;Guantes Modelo 470;Accesorios de Construcción;210.93;416.01;FerroMax;Hogar;Medición;Plástico;30/9/2024;Naranja;Guantes;;;
MaxPro SRL;332;310105956-9;Sierra Modelo 293;Accesorios de Construcción;187.7;359.04;Renova;Profesional;Neumática;Madera;9/7/2024;Amarillo;Sierra;;;
Construmax;333;838992654-7;Casco de seguridad Modelo 644;Equipos de Seguridad;274.45;446.23;Structo;Profesional;Medición;Plástico;7/10/2024;Gris;Casco de seguridad;;;
MaxPro SRL;334;636814638-9;Clavos Modelo 502;Equipos de Seguridad;494.65;791.37;Structo;Profesional;Neumática;Madera;4/7/2024;Verde;Clavos;;;
MaxPro SRL;335;421028018-6;Guantes Modelo 517;Herramientas Manuales;466.14;850.05;FixMaster;Profesional;Eléctrica;Plástico;9/5/2024;Naranja;Guantes;;;
Construmax;336;912050635-X;Pinza Modelo 371;Fijaciones y Anclajes;64.92;113.52;PowerFix;Profesional;Medición;Aluminio;3/5/2024;Negro;Pinza;;;
Construmax;337;710537028-9;Espátula Modelo 200;Herramientas Manuales;190.91;286.6;Renova;Profesional;Seguridad;Plástico;29/10/2024;Verde;Espátula;;;
MaxPro SRL;338;787928565-2;Llave inglesa Modelo 316;Fijaciones y Anclajes;130.47;204.81;TitanTools;Hogar;Manual;Goma;12/2/2024;Verde;Llave inglesa;;5.0;
MaxPro SRL;339;599985091-6;Martillo Modelo 485;Equipos de Seguridad;499.37;604.58;Renova;Profesional;Manual;Madera;28/3/2024;Naranja;Martillo;;21.0;
MaxPro SRL;340;784968847-3;Cutter Modelo 708;Accesorios de Construcción;43.85;73.68;FixMaster;Profesional;Medición;Plástico;2/1/2024;Naranja;Cutter;;;
MaxPro SRL;341;756579727-8;Llave inglesa Modelo 584;Fijaciones y Anclajes;139.7;169.9;MegaTool;Profesional;Manual;Acero;7/1/2024;Negro;Llave inglesa;;;
MaxPro SRL;342;944963216-2;Brocas Modelo 858;Herramientas Manuales;41.33;56.84;TitanTools;Hogar;Medición;Goma;20/1/2024;Naranja;Brocas;;;
Construmax;343;396286754-6;Cinta métrica Modelo 917;Equipos de Seguridad;177.05;314.05;PowerFix;Hogar;Neumática;Goma;24/4/2024;Gris;Cinta métrica;;;
MaxPro SRL;344;313406585-1;Martillo Modelo 409;Equipos de Seguridad;362.2;540.67;TitanTools;Profesional;Medición;Aluminio;16/9/2024;Naranja;Martillo;;48.0;
MaxPro SRL;345;540485955-5;Taladro Modelo 929;Herramientas Manuales;411.85;756.84;HardyWorks;Hogar;Seguridad;Aluminio;18/7/2024;Gris;Taladro;;;
Construmax;346;614290483-5;Taladro Modelo 171;Herramientas Manuales;445.61;577.02;MegaTool;Hogar;Eléctrica;Plástico;10/7/2024;Blanco;Taladro;;;
Construmax;347;371978175-5;Llave inglesa Modelo 400;Fijaciones y Anclajes;98.51;188.63;Structo;Hogar;Medición;Acero;11/6/2024;Naranja;Llave inglesa;;;
Construmax;348;618592372-6;Martillo Modelo 754;Accesorios de Construcción;28.74;48.0;Structo;Hogar;Seguridad;Plástico;22/7/2024;Naranja;Martillo;;22.0;
Construmax;349;615151557-9;Sierra Modelo 833;Accesorios de Construcción;145.11;184.09;PowerFix;Hogar;Eléctrica;Plástico;29/11/2024;Gris;Sierra;;38.0;
Construmax;350;401193607-3;Pinza Modelo 674;Herramientas Manuales;14.06;20.02;PowerFix;Hogar;Manual;Plástico;31/8/2024;Blanco;Pinza;;;
Construmax;351;146553988-3;Cinta métrica Modelo 853;Equipos de Seguridad;192.01;320.91;FerroMax;Profesional;Seguridad;Goma;21/5/2024;Negro;Cinta métrica;;;
MaxPro SRL;352;706108178-3;Pinza Modelo 776;Fijaciones y Anclajes;250.4;483.52;FerroMax;Hogar;Eléctrica;Acero;31/7/2024;Verde;Pinza;;;
MaxPro SRL;353;344210535-8;Martillo Modelo 576;Accesorios de Construcción;416.37;566.85;Renova;Hogar;Manual;Madera;20/11/2024;Verde;Martillo;;;
Construmax;354;103720784-X;Cutter Modelo 427;Fijaciones y Anclajes;468.8;709.43;Construtek;Hogar;Neumática;Aluminio;7/11/2024;Blanco;Cutter;;;
Construmax;355;262329649-9;Sierra Modelo 141;Accesorios de Construcción;247.07;439.21;Renova;Profesional;Eléctrica;Aluminio;24/11/2024;Naranja;Sierra;;;
Construmax;356;094624856-7;Pinza Modelo 454;Fijaciones y Anclajes;367.45;597.93;Structo;Profesional;Manual;Plástico;30/3/2024;Naranja;Pinza;;;
Construmax;357;352088879-3;Brocas Modelo 738;Accesorios de Construcción;452.81;874.84;BuildPro;Hogar;Medición;Aluminio;15/6/2024;Verde;Brocas;;;
MaxPro SRL;358;188454017-1;Destornillador Modelo 733;Fijaciones y Anclajes;277.85;469.06;Structo;Hogar;Neumática;Madera;20/12/2024;Negro;Destornillador;;;
Construmax;359;053777314-2;Sierra Modelo 849;Fijaciones y Anclajes;348.86;696.11;BuildPro;Profesional;Manual;Goma;2/12/2024;Blanco;Sierra;;;
Construmax;360;968345569-7;Espátula Modelo 881;Herramientas Manuales;345.08;594.05;Construtek;Hogar;Seguridad;Madera;31/8/2024;Rojo;Espátula;;;
MaxPro SRL;361;155402674-1;Cutter Modelo 273;Herramientas Eléctricas;57.93;92.89;PowerFix;Hogar;Eléctrica;Madera;24/1/2024;Naranja;Cutter;;;
MaxPro SRL;362;178551056-8;Cutter Modelo 554;Fijaciones y Anclajes;47.05;66.16;FerroMax;Profesional;Manual;Aluminio;12/9/2024;Negro;Cutter;;;
MaxPro SRL;363;089462165-3;Sierra Modelo 491;Fijaciones y Anclajes;35.59;68.86;Construtek;Profesional;Eléctrica;Plástico;29/12/2024;Azul;Sierra;;;
MaxPro SRL;364;407642443-3;Cutter Modelo 977;Fijaciones y Anclajes;10.94;20.39;FixMaster;Hogar;Medición;Madera;14/11/2024;Verde;Cutter;;7.0;
Construmax;365;980277196-1;Cinta métrica Modelo 419;Fijaciones y Anclajes;233.07;400.29;FerroMax;Profesional;Neumática;Plástico;9/1/2024;Verde;Cinta métrica;;14.0;
Construmax;366;871024805-6;Cutter Modelo 988;Fijaciones y Anclajes;314.07;521.71;TitanTools;Hogar;Neumática;Acero;12/12/2024;Azul;Cutter;;;
MaxPro SRL;367;840097286-4;Nivel Modelo 777;Accesorios de Construcción;468.45;685.04;FerroMax;Hogar;Medición;Aluminio;24/2/2024;Azul;Nivel;;;
Construmax;368;439341479-9;Cutter Modelo 554;Accesorios de Construcción;456.02;805.1;Structo;Hogar;Seguridad;Acero;28/7/2024;Blanco;Cutter;;;
Construmax;369;087752008-9;Pinza Modelo 848;Herramientas Manuales;206.88;299.7;Renova;Profesional;Manual;Aluminio;15/5/2024;Gris;Pinza;;;
MaxPro SRL;370;186002997-3;Taladro Modelo 165;Herramientas Manuales;75.93;124.83;MegaTool;Profesional;Eléctrica;Plástico;12/2/2024;Amarillo;Taladro;;;
Construmax;371;216395356-4;Destornillador Modelo 163;Herramientas Manuales;196.66;382.63;Structo;Profesional;Manual;Madera;23/1/2024;Blanco;Destornillador;;;
Construmax;372;716154493-9;Taladro Modelo 894;Herramientas Manuales;284.52;443.45;TitanTools;Hogar;Manual;Madera;12/11/2024;Gris;Taladro;;15.0;
Construmax;373;005682286-3;Martillo Modelo 912;Equipos de Seguridad;65.35;110.07;TitanTools;Profesional;Manual;Madera;24/3/2024;Naranja;Martillo;;48.0;
Construmax;374;246897110-8;Destornillador Modelo 569;Accesorios de Construcción;355.83;476.8;FixMaster;Profesional;Seguridad;Plástico;22/11/2024;Negro;Destornillador;;;
Construmax;375;159198263-4;Casco de seguridad Modelo 583;Accesorios de Construcción;380.09;529.15;Structo;Profesional;Manual;Acero;1/7/2024;Verde;Casco de seguridad;;;
Construmax;376;969061102-X;Pinza Modelo 323;Equipos de Seguridad;335.39;429.97;Construtek;Hogar;Neumática;Plástico;12/7/2024;Azul;Pinza;;;
Construmax;377;562854425-6;Cinta métrica Modelo 888;Accesorios de Construcción;289.41;481.98;BuildPro;Hogar;Seguridad;Acero;11/12/2024;Amarillo;Cinta métrica;;38.0;
MaxPro SRL;378;111086636-4;Brocas Modelo 934;Herramientas Manuales;77.32;111.86;HardyWorks;Hogar;Medición;Aluminio;17/2/2024;Negro;Brocas;;;
Construmax;379;473452277-4;Sierra Modelo 198;Herramientas Manuales;174.01;260.05;Construtek;Hogar;Neumática;Aluminio;4/3/2024;Naranja;Sierra;;;
MaxPro SRL;380;829891473-2;Martillo Modelo 202;Herramientas Eléctricas;472.92;697.06;Structo;Profesional;Medición;Plástico;27/6/2024;Gris;Martillo;;;
Construmax;381;392456028-5;Casco de seguridad Modelo 152;Accesorios de Construcción;462.53;874.2;Renova;Profesional;Eléctrica;Goma;25/8/2024;Naranja;Casco de seguridad;;16.0;
Construmax;382;269508221-5;Casco de seguridad Modelo 767;Fijaciones y Anclajes;239.25;308.21;FixMaster;Profesional;Seguridad;Goma;13/7/2024;Blanco;Casco de seguridad;;;
MaxPro SRL;383;749962672-5;Martillo Modelo 912;Equipos de Seguridad;168.67;307.0;FixMaster;Hogar;Neumática;Madera;19/4/2024;Naranja;Martillo;;;
MaxPro SRL;384;336177063-7;Espátula Modelo 156;Accesorios de Construcción;422.25;596.01;TitanTools;Profesional;Medición;Acero;30/3/2024;Blanco;Espátula;;;
MaxPro SRL;385;081005890-1;Casco de seguridad Modelo 742;Fijaciones y Anclajes;115.7;187.71;Construtek;Profesional;Manual;Aluminio;30/10/2024;Rojo;Casco de seguridad;;;
Construmax;386;911683445-3;Clavos Modelo 831;Fijaciones y Anclajes;395.88;570.28;BuildPro;Hogar;Seguridad;Aluminio;21/4/2024;Amarillo;Clavos;;;
MaxPro SRL;387;693379426-1;Nivel Modelo 653;Herramientas Manuales;42.43;62.73;FerroMax;Profesional;Manual;Aluminio;15/12/2024;Naranja;Nivel;;31.0;
Construmax;388;553152730-6;Martillo Modelo 122;Herramientas Manuales;336.96;636.2;PowerFix;Profesional;Neumática;Goma;17/9/2024;Rojo;Martillo;;;
Construmax;389;943869361-0;Casco de seguridad Modelo 726;Fijaciones y Anclajes;176.01;349.67;TitanTools;Hogar;Manual;Aluminio;19/9/2024;Naranja;Casco de seguridad;;;
MaxPro SRL;390;100203072-2;Clavos Modelo 420;Accesorios de Construcción;280.87;375.58;BuildPro;Profesional;Seguridad;Acero;3/1/2024;Naranja;Clavos;;;
Construmax;391;266503966-4;Guantes Modelo 354;Herramientas Eléctricas;434.74;747.68;HardyWorks;Profesional;Neumática;Madera;1/4/2024;Gris;Guantes;;32.0;
Construmax;392;959698382-2;Sierra Modelo 733;Equipos de Seguridad;11.01;13.7;HardyWorks;Profesional;Medición;Acero;26/3/2024;Blanco;Sierra;;;
MaxPro SRL;393;831732177-0;Espátula Modelo 176;Equipos de Seguridad;382.62;749.79;FerroMax;Profesional;Seguridad;Madera;29/3/2024;Azul;Espátula;;;
Construmax;394;834048864-3;Nivel Modelo 865;Fijaciones y Anclajes;280.24;446.26;FerroMax;Profesional;Medición;Aluminio;18/9/2024;Amarillo;Nivel;;;
Construmax;395;188272125-X;Llave inglesa Modelo 692;Fijaciones y Anclajes;37.82;62.36;PowerFix;Hogar;Eléctrica;Aluminio;14/3/2024;Verde;Llave inglesa;;;
MaxPro SRL;396;511192168-0;Pinza Modelo 810;Fijaciones y Anclajes;16.68;21.8;Construtek;Hogar;Seguridad;Plástico;10/12/2024;Blanco;Pinza;;;
Construmax;397;977197209-X;Nivel Modelo 834;Herramientas Manuales;419.5;614.92;PowerFix;Hogar;Seguridad;Goma;27/8/2024;Verde;Nivel;;;
MaxPro SRL;398;806097784-9;Nivel Modelo 933;Accesorios de Construcción;55.0;85.79;MegaTool;Profesional;Neumática;Aluminio;21/2/2024;Rojo;Nivel;;;
MaxPro SRL;399;994489603-9;Guantes Modelo 461;Herramientas Manuales;289.94;386.99;HardyWorks;Profesional;Seguridad;Madera;2/10/2024;Gris;Guantes;;;
MaxPro SRL;400;371411608-7;Tornillos Modelo 432;Accesorios de Construcción;66.64;122.37;HardyWorks;Profesional;Eléctrica;Goma;8/3/2024;Gris;Tornillos;;;
Construmax;401;076528149-X;Martillo Modelo 697;Equipos de Seguridad;158.65;229.91;Construtek;Profesional;Seguridad;Goma;21/12/2024;Rojo;Martillo;;;
Construmax;402;809980929-7;Llave inglesa Modelo 650;Accesorios de Construcción;86.93;169.61;Construtek;Profesional;Medición;Acero;29/4/2024;Gris;Llave inglesa;;;
MaxPro SRL;403;545691518-9;Guantes Modelo 541;Herramientas Eléctricas;372.7;551.32;FerroMax;Profesional;Neumática;Goma;15/6/2024;Blanco;Guantes;;;
Construmax;404;759471995-6;Sierra Modelo 438;Accesorios de Construcción;453.81;600.75;MegaTool;Hogar;Neumática;Aluminio;10/5/2024;Azul;Sierra;;;
MaxPro SRL;405;603343743-8;Espátula Modelo 176;Herramientas Manuales;413.95;679.97;TitanTools;Hogar;Seguridad;Goma;28/11/2024;Verde;Espátula;;;
Construmax;406;872516137-7;Cinta métrica Modelo 527;Fijaciones y Anclajes;363.61;534.35;BuildPro;Hogar;Eléctrica;Aluminio;9/6/2024;Blanco;Cinta métrica;;;
Construmax;407;541047972-6;Casco de seguridad Modelo 934;Herramientas Manuales;394.52;690.48;Structo;Profesional;Manual;Acero;1/7/2024;Azul;Casco de seguridad;;31.0;
Construmax;408;992934250-8;Taladro Modelo 360;Equipos de Seguridad;233.43;327.98;Construtek;Hogar;Medición;Goma;1/6/2024;Naranja;Taladro;;15.0;
Construmax;409;832695218-4;Guantes Modelo 237;Herramientas Eléctricas;444.87;858.75;Renova;Profesional;Eléctrica;Acero;16/7/2024;Verde;Guantes;;;
MaxPro SRL;410;212748711-7;Sierra Modelo 701;Equipos de Seguridad;401.32;617.37;HardyWorks;Hogar;Eléctrica;Plástico;30/8/2024;Verde;Sierra;;;
MaxPro SRL;411;391704087-5;Brocas Modelo 710;Herramientas Eléctricas;342.99;549.06;FixMaster;Hogar;Seguridad;Goma;27/9/2024;Rojo;Brocas;;;
Construmax;412;078190483-8;Tornillos Modelo 286;Fijaciones y Anclajes;354.61;605.13;Structo;Profesional;Eléctrica;Goma;23/11/2024;Rojo;Tornillos;;;
MaxPro SRL;413;776978463-8;Taladro Modelo 181;Fijaciones y Anclajes;455.6;866.49;MegaTool;Hogar;Medición;Madera;18/10/2024;Azul;Taladro;;19.0;
Construmax;414;481982691-3;Cinta métrica Modelo 896;Equipos de Seguridad;20.07;26.68;HardyWorks;Profesional;Seguridad;Aluminio;15/9/2024;Amarillo;Cinta métrica;;;
MaxPro SRL;415;133582470-7;Guantes Modelo 560;Herramientas Eléctricas;67.23;130.31;Structo;Hogar;Eléctrica;Goma;4/2/2024;Verde;Guantes;;;
MaxPro SRL;416;748948087-6;Pinza Modelo 977;Accesorios de Construcción;474.99;623.12;BuildPro;Profesional;Manual;Plástico;8/2/2024;Amarillo;Pinza;;;
MaxPro SRL;417;288342473-X;Taladro Modelo 645;Accesorios de Construcción;379.61;510.05;HardyWorks;Hogar;Manual;Goma;18/8/2024;Blanco;Taladro;;;
Construmax;418;072256749-9;Tornillos Modelo 757;Fijaciones y Anclajes;346.21;666.62;PowerFix;Profesional;Neumática;Plástico;17/2/2024;Negro;Tornillos;;;
Construmax;419;703313362-6;Nivel Modelo 737;Herramientas Manuales;265.69;477.29;FerroMax;Profesional;Medición;Plástico;7/6/2024;Verde;Nivel;;40.0;
Construmax;420;737691462-5;Brocas Modelo 923;Accesorios de Construcción;21.55;42.65;PowerFix;Hogar;Neumática;Aluminio;24/6/2024;Verde;Brocas;;;
MaxPro SRL;421;184291199-6;Casco de seguridad Modelo 308;Equipos de Seguridad;108.09;171.53;HardyWorks;Hogar;Medición;Aluminio;18/3/2024;Blanco;Casco de seguridad;;;
Construmax;422;333034706-6;Tornillos Modelo 185;Fijaciones y Anclajes;286.22;500.97;TitanTools;Hogar;Manual;Acero;18/3/2024;Blanco;Tornillos;;;
MaxPro SRL;423;065227923-6;Clavos Modelo 694;Equipos de Seguridad;192.03;244.59;FixMaster;Profesional;Manual;Aluminio;26/1/2024;Naranja;Clavos;;;
MaxPro SRL;424;937280875-X;Pinza Modelo 208;Fijaciones y Anclajes;426.54;655.44;Renova;Profesional;Medición;Plástico;30/4/2024;Blanco;Pinza;;;
Construmax;425;354395374-5;Nivel Modelo 839;Herramientas Manuales;413.19;766.57;BuildPro;Hogar;Eléctrica;Plástico;3/4/2024;Verde;Nivel;;;
MaxPro SRL;426;628500780-2;Pinza Modelo 931;Fijaciones y Anclajes;446.0;858.93;PowerFix;Profesional;Seguridad;Madera;2/8/2024;Amarillo;Pinza;;;
MaxPro SRL;427;075921253-8;Tornillos Modelo 615;Fijaciones y Anclajes;238.52;289.18;Structo;Profesional;Seguridad;Goma;29/4/2024;Gris;Tornillos;;;
Construmax;428;742228888-4;Sierra Modelo 158;Equipos de Seguridad;115.01;199.33;BuildPro;Profesional;Eléctrica;Goma;7/3/2024;Blanco;Sierra;;;
Construmax;429;964990786-6;Martillo Modelo 351;Herramientas Manuales;308.8;557.16;BuildPro;Profesional;Neumática;Aluminio;7/4/2024;Rojo;Martillo;;41.0;
MaxPro SRL;430;316132813-2;Destornillador Modelo 579;Accesorios de Construcción;106.93;154.89;FerroMax;Profesional;Medición;Aluminio;11/1/2024;Blanco;Destornillador;;4.0;
MaxPro SRL;431;038016106-0;Cinta métrica Modelo 478;Fijaciones y Anclajes;464.6;883.82;MegaTool;Profesional;Medición;Acero;20/1/2024;Amarillo;Cinta métrica;;;
Construmax;432;664354102-6;Brocas Modelo 371;Equipos de Seguridad;393.05;656.74;PowerFix;Profesional;Medición;Goma;31/10/2024;Azul;Brocas;;;
Construmax;433;995313072-8;Pinza Modelo 861;Herramientas Manuales;17.68;31.21;BuildPro;Hogar;Seguridad;Madera;5/12/2024;Rojo;Pinza;;;
Construmax;434;945387279-2;Llave inglesa Modelo 330;Accesorios de Construcción;254.93;465.06;FixMaster;Hogar;Seguridad;Plástico;12/6/2024;Verde;Llave inglesa;;;
MaxPro SRL;435;233434247-5;Guantes Modelo 412;Fijaciones y Anclajes;356.45;659.13;BuildPro;Profesional;Seguridad;Plástico;30/3/2024;Negro;Guantes;;11.0;
Construmax;436;631474463-6;Llave inglesa Modelo 724;Herramientas Manuales;81.7;121.94;PowerFix;Profesional;Neumática;Acero;27/2/2024;Naranja;Llave inglesa;;;
Construmax;437;367661966-8;Llave inglesa Modelo 219;Fijaciones y Anclajes;242.2;479.94;Construtek;Profesional;Neumática;Acero;9/2/2024;Verde;Llave inglesa;;5.0;
Construmax;438;062991740-X;Casco de seguridad Modelo 957;Herramientas Manuales;480.89;888.64;HardyWorks;Hogar;Neumática;Madera;21/5/2024;Azul;Casco de seguridad;;;
Construmax;439;825145145-0;Casco de seguridad Modelo 541;Herramientas Manuales;70.86;112.58;FerroMax;Hogar;Eléctrica;Acero;10/12/2024;Negro;Casco de seguridad;;;
MaxPro SRL;440;555548168-3;Guantes Modelo 695;Herramientas Eléctricas;479.0;858.77;BuildPro;Profesional;Medición;Plástico;29/2/2024;Negro;Guantes;;28.0;
MaxPro SRL;441;036575238-X;Tornillos Modelo 343;Herramientas Manuales;225.55;340.23;BuildPro;Profesional;Eléctrica;Goma;1/3/2024;Negro;Tornillos;;;
Construmax;442;671017210-4;Sierra Modelo 895;Equipos de Seguridad;489.82;785.65;MegaTool;Hogar;Medición;Plástico;9/4/2024;Amarillo;Sierra;;;
Construmax;443;206884643-8;Espátula Modelo 766;Equipos de Seguridad;424.07;546.78;Construtek;Hogar;Medición;Plástico;29/4/2024;Naranja;Espátula;;;
Construmax;444;885426424-5;Nivel Modelo 455;Herramientas Eléctricas;106.65;152.92;Renova;Hogar;Medición;Madera;20/7/2024;Gris;Nivel;;;
MaxPro SRL;445;835862862-5;Cinta métrica Modelo 253;Herramientas Eléctricas;67.57;117.65;Construtek;Hogar;Manual;Goma;19/6/2024;Negro;Cinta métrica;;;
Construmax;446;527135543-8;Destornillador Modelo 614;Accesorios de Construcción;78.52;111.03;FerroMax;Profesional;Medición;Goma;13/7/2024;Blanco;Destornillador;;;
Construmax;447;779226412-2;Destornillador Modelo 297;Accesorios de Construcción;335.72;478.55;Renova;Profesional;Medición;Acero;18/12/2024;Azul;Destornillador;;;
Construmax;448;463870746-7;Clavos Modelo 755;Fijaciones y Anclajes;114.94;214.78;TitanTools;Hogar;Neumática;Plástico;28/5/2024;Negro;Clavos;;;
Construmax;449;209336436-0;Martillo Modelo 851;Accesorios de Construcción;400.5;536.75;TitanTools;Profesional;Neumática;Madera;25/8/2024;Azul;Martillo;;;
MaxPro SRL;450;004305072-7;Casco de seguridad Modelo 187;Fijaciones y Anclajes;465.33;693.9;PowerFix;Hogar;Eléctrica;Goma;22/5/2024;Azul;Casco de seguridad;;;
MaxPro SRL;451;896579483-8;Destornillador Modelo 583;Herramientas Manuales;320.47;599.82;FixMaster;Profesional;Neumática;Aluminio;8/3/2024;Verde;Destornillador;;;
MaxPro SRL;452;376077573-X;Nivel Modelo 240;Equipos de Seguridad;419.47;518.84;MegaTool;Profesional;Eléctrica;Aluminio;22/12/2024;Gris;Nivel;;;
MaxPro SRL;453;601673397-0;Taladro Modelo 183;Accesorios de Construcción;209.37;404.44;BuildPro;Profesional;Eléctrica;Madera;22/4/2024;Verde;Taladro;;;
MaxPro SRL;454;591075490-4;Tornillos Modelo 389;Herramientas Manuales;215.65;393.77;HardyWorks;Profesional;Medición;Goma;30/4/2024;Naranja;Tornillos;;;
Construmax;455;708270445-3;Guantes Modelo 238;Herramientas Manuales;307.55;586.5;Structo;Profesional;Eléctrica;Acero;18/8/2024;Gris;Guantes;;;
Construmax;456;098859156-1;Taladro Modelo 376;Fijaciones y Anclajes;56.05;102.45;MegaTool;Hogar;Seguridad;Madera;3/7/2024;Naranja;Taladro;;;
MaxPro SRL;457;715331440-7;Llave inglesa Modelo 102;Herramientas Eléctricas;258.34;458.51;Renova;Profesional;Medición;Madera;9/4/2024;Naranja;Llave inglesa;;;
MaxPro SRL;458;056466554-1;Llave inglesa Modelo 127;Fijaciones y Anclajes;127.1;159.4;FerroMax;Profesional;Manual;Plástico;28/8/2024;Gris;Llave inglesa;;;
Construmax;459;716051921-3;Nivel Modelo 592;Accesorios de Construcción;371.29;512.78;TitanTools;Profesional;Manual;Madera;26/2/2024;Negro;Nivel;;;
Construmax;460;073588874-4;Casco de seguridad Modelo 287;Herramientas Eléctricas;417.46;743.82;Renova;Profesional;Eléctrica;Madera;28/11/2024;Verde;Casco de seguridad;;7.0;
MaxPro SRL;461;732083381-6;Espátula Modelo 306;Fijaciones y Anclajes;298.01;524.85;MegaTool;Hogar;Medición;Plástico;4/6/2024;Negro;Espátula;;41.0;
Construmax;462;965551915-5;Taladro Modelo 854;Accesorios de Construcción;314.06;603.5;FerroMax;Hogar;Manual;Goma;30/11/2024;Naranja;Taladro;;;
MaxPro SRL;463;887307009-4;Brocas Modelo 812;Accesorios de Construcción;60.4;83.46;BuildPro;Hogar;Medición;Acero;26/3/2024;Azul;Brocas;;;
Construmax;464;795834071-0;Cinta métrica Modelo 997;Equipos de Seguridad;414.03;555.13;Renova;Hogar;Medición;Acero;10/8/2024;Naranja;Cinta métrica;;;
MaxPro SRL;465;562242247-7;Brocas Modelo 770;Herramientas Manuales;270.11;377.49;BuildPro;Hogar;Neumática;Goma;20/10/2024;Azul;Brocas;;;
MaxPro SRL;466;388038880-6;Cinta métrica Modelo 302;Herramientas Manuales;79.42;134.05;FerroMax;Hogar;Neumática;Acero;18/7/2024;Blanco;Cinta métrica;;;
MaxPro SRL;467;291704897-2;Llave inglesa Modelo 127;Herramientas Manuales;442.25;551.83;PowerFix;Hogar;Eléctrica;Goma;16/3/2024;Negro;Llave inglesa;;;
Construmax;468;046088026-8;Cinta métrica Modelo 379;Herramientas Manuales;174.7;221.05;Structo;Hogar;Medición;Acero;2/12/2024;Naranja;Cinta métrica;;;
MaxPro SRL;469;516690810-4;Martillo Modelo 942;Fijaciones y Anclajes;294.29;422.4;Structo;Profesional;Neumática;Goma;30/10/2024;Rojo;Martillo;;;
MaxPro SRL;470;937401969-8;Pinza Modelo 681;Herramientas Manuales;145.87;284.27;Construtek;Profesional;Neumática;Plástico;13/6/2024;Naranja;Pinza;;48.0;
Construmax;471;257953361-3;Martillo Modelo 427;Herramientas Manuales;287.27;398.25;TitanTools;Hogar;Medición;Madera;28/3/2024;Blanco;Martillo;;;
MaxPro SRL;472;928412338-0;Clavos Modelo 457;Herramientas Manuales;427.94;553.9;HardyWorks;Profesional;Manual;Aluminio;19/5/2024;Naranja;Clavos;;;
MaxPro SRL;473;256772910-0;Nivel Modelo 136;Fijaciones y Anclajes;359.05;594.88;HardyWorks;Hogar;Seguridad;Goma;14/9/2024;Gris;Nivel;;;
